,Unnamed: 0,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,MasVnrArea,ExteriorQ,ExteriorC,BasementQ,BasementC,BasementEx,Basement1,BsmtFinSF1,Basement2,BsmtFinSF2,BsmtUnfSF,Heating,LowQualFinSF,GrLivArea,FullBath,HalfBath,Kitchen,TotRmsAbvGrd,Function,Fireplaces,FireplaceQ,Garage,GarageYrBlt,GarageCars,GarageArea,GarageQ,GarageC,WoodDeckSF,PoolArea,Pool,FenceType,MiscVal,SalePrice,HouseAge,Porch,TotalSF
0,0,65.0,8450,7,5,2003,196.0,4,3,4.0,3.0,1.0,6.0,706,1.0,0,150,5,0,1710,3,1,4,8,8,0,4.0,1.0,2003.0,2,548,3.0,3.0,0,0,0.0,0.0,0,208500,8,1,2566
1,1,80.0,9600,6,8,1976,0.0,3,3,4.0,3.0,4.0,5.0,978,1.0,0,284,5,0,1262,2,1,3,6,8,1,3.0,1.0,1976.0,2,460,3.0,3.0,298,0,0.0,0.0,0,181500,35,0,2524
2,2,68.0,11250,7,5,2001,162.0,4,3,4.0,3.0,2.0,6.0,486,1.0,0,434,5,0,1786,3,1,4,6,8,1,3.0,1.0,2001.0,2,608,3.0,3.0,0,0,0.0,0.0,0,223500,10,1,2706
3,3,60.0,9550,7,5,1915,0.0,3,3,3.0,4.0,1.0,5.0,216,1.0,0,540,4,0,1717,2,0,4,7,8,1,4.0,1.0,1998.0,3,642,3.0,3.0,0,0,0.0,0.0,0,140000,96,1,2473
4,4,84.0,14260,8,5,2000,350.0,4,3,4.0,3.0,3.0,6.0,655,1.0,0,490,5,0,2198,3,1,4,9,8,1,3.0,1.0,2000.0,3,836,3.0,3.0,192,0,0.0,0.0,0,250000,11,1,3343
5,5,85.0,14115,5,5,1993,0.0,3,3,4.0,3.0,1.0,6.0,732,1.0,0,64,5,0,1362,2,1,3,5,8,0,4.0,1.0,1993.0,2,480,3.0,3.0,40,0,3.0,3.0,700,143000,18,1,2158
6,6,75.0,10084,8,5,2004,186.0,4,3,5.0,3.0,3.0,6.0,1369,1.0,0,317,5,0,1694,3,0,4,7,8,1,4.0,1.0,2004.0,2,636,3.0,3.0,255,0,0.0,0.0,0,307000,7,1,3380
7,7,69.0,10382,7,6,1973,240.0,3,3,4.0,3.0,2.0,5.0,859,4.0,32,216,5,0,2090,3,1,3,7,8,2,3.0,1.0,1973.0,2,484,3.0,3.0,235,0,0.0,0.0,350,200000,38,1,3197
8,8,51.0,6120,7,5,1931,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,952,4,0,1774,2,0,3,8,7,2,3.0,1.0,1931.0,2,468,2.0,3.0,90,0,0.0,0.0,0,129900,80,1,2726
9,9,50.0,7420,5,6,1939,0.0,3,3,3.0,3.0,1.0,6.0,851,1.0,0,140,5,0,1077,2,0,3,5,8,2,3.0,1.0,1939.0,1,205,4.0,3.0,0,0,0.0,0.0,0,118000,72,1,2068
10,10,70.0,11200,5,5,1965,0.0,3,3,3.0,3.0,1.0,3.0,906,1.0,0,134,5,0,1040,2,0,3,5,8,0,4.0,1.0,1965.0,1,384,3.0,3.0,0,0,0.0,0.0,0,129500,46,0,2080
11,11,85.0,11924,9,5,2005,286.0,5,3,5.0,3.0,1.0,6.0,998,1.0,0,177,5,0,2324,4,0,5,11,8,2,4.0,3.0,2005.0,3,736,3.0,3.0,147,0,0.0,0.0,0,345000,6,1,3499
12,12,69.0,12968,5,6,1962,0.0,3,3,3.0,3.0,1.0,5.0,737,1.0,0,175,3,0,912,2,0,3,4,8,0,4.0,1.0,1962.0,1,352,3.0,3.0,140,0,0.0,0.0,0,144000,49,1,1824
