,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,Income_Above_or_Below_50K
0,25,Private,11th,7,Never-married,Machine-op-inspct,Own-child,Black,Male,40,0
1,38,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,0
2,28,Local-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,40,1
3,44,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,1
5,34,Private,10th,6,Never-married,Other-service,Not-in-family,White,Male,30,0
7,63,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,1
8,24,Private,Some-college,10,Never-married,Other-service,Unmarried,White,Female,40,0
9,55,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,10,0
10,65,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,1
11,36,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,0
12,26,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,39,0
14,48,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,1
15,43,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
16,20,State-gov,Some-college,10,Never-married,Other-service,Own-child,White,Male,25,0
17,43,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,0
18,37,Private,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,20,0
20,34,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,47,1
21,34,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Female,35,0
23,25,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,43,0
24,25,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0
25,45,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,90,1
26,22,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,20,0
27,23,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Male,54,0
28,54,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,0
29,32,Self-emp-not-inc,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,60,0
30,46,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,1
31,56,Self-emp-not-inc,11th,7,Widowed,Other-service,Unmarried,White,Female,50,0
32,24,Self-emp-not-inc,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,50,0
33,23,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,0
34,26,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,40,0
36,36,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
37,22,Private,5th-6th,3,Never-married,Priv-house-serv,Not-in-family,White,Male,50,0
38,17,Private,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,0
39,20,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,0
40,65,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
41,44,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,45,1
42,36,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0
43,29,Private,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,40,0
44,20,State-gov,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,32,0
45,28,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,1
46,39,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
47,54,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,50,0
48,52,Private,11th,7,Separated,Priv-house-serv,Not-in-family,Black,Female,18,0
49,56,Self-emp-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,50,0
50,18,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,20,0
51,39,Private,HS-grad,9,Divorced,Handlers-cleaners,Own-child,Black,Male,40,0
52,21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,24,0
53,22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,60,1
54,38,Private,9th,5,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,54,0
55,21,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,40,0
56,63,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
57,34,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
58,42,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
