,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,MasVnrArea,ExteriorQ,ExteriorC,BasementQ,BasementC,BasementEx,Basement1,BsmtFinSF1,Basement2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,Kitchen,TotRmsAbvGrd,Function,Fireplaces,FireplaceQ,Garage,GarageYrBlt,GarageCars,GarageArea,GarageQ,GarageC,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Pool,FenceType,MiscVal,SalePrice
0,65.0,8450,7,5,2003,196.0,4,3,4.0,3.0,1.0,6.0,706,1.0,0,150,856,5,856,854,0,1710,1,0,2,1,4,8,8,0,,,2003.0,2,548,3.0,3.0,0,61,0,0,0,0,0.0,0.0,0,208500
1,80.0,9600,6,8,1976,0.0,3,3,4.0,3.0,4.0,5.0,978,1.0,0,284,1262,5,1262,0,0,1262,0,1,2,0,3,6,8,1,3.0,,1976.0,2,460,3.0,3.0,298,0,0,0,0,0,0.0,0.0,0,181500
2,68.0,11250,7,5,2001,162.0,4,3,4.0,3.0,2.0,6.0,486,1.0,0,434,920,5,920,866,0,1786,1,0,2,1,4,6,8,1,3.0,,2001.0,2,608,3.0,3.0,0,42,0,0,0,0,0.0,0.0,0,223500
3,60.0,9550,7,5,1915,0.0,3,3,3.0,4.0,1.0,5.0,216,1.0,0,540,756,4,961,756,0,1717,1,0,1,0,4,7,8,1,4.0,1.0,1998.0,3,642,3.0,3.0,0,35,272,0,0,0,0.0,0.0,0,140000
4,84.0,14260,8,5,2000,350.0,4,3,4.0,3.0,3.0,6.0,655,1.0,0,490,1145,5,1145,1053,0,2198,1,0,2,1,4,9,8,1,3.0,,2000.0,3,836,3.0,3.0,192,84,0,0,0,0,0.0,0.0,0,250000
5,85.0,14115,5,5,1993,0.0,3,3,4.0,3.0,1.0,6.0,732,1.0,0,64,796,5,796,566,0,1362,1,0,1,1,3,5,8,0,,,1993.0,2,480,3.0,3.0,40,30,0,320,0,0,3.0,3.0,700,143000
6,75.0,10084,8,5,2004,186.0,4,3,5.0,3.0,3.0,6.0,1369,1.0,0,317,1686,5,1694,0,0,1694,1,0,2,0,4,7,8,1,4.0,,2004.0,2,636,3.0,3.0,255,57,0,0,0,0,0.0,0.0,0,307000
7,,10382,7,6,1973,240.0,3,3,4.0,3.0,2.0,5.0,859,4.0,32,216,1107,5,1107,983,0,2090,1,0,2,1,3,7,8,2,3.0,,1973.0,2,484,3.0,3.0,235,204,228,0,0,0,0.0,0.0,350,200000
8,51.0,6120,7,5,1931,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,952,952,4,1022,752,0,1774,0,0,2,0,3,8,7,2,3.0,1.0,1931.0,2,468,2.0,3.0,90,0,205,0,0,0,0.0,0.0,0,129900
9,50.0,7420,5,6,1939,0.0,3,3,3.0,3.0,1.0,6.0,851,1.0,0,140,991,5,1077,0,0,1077,1,0,1,0,3,5,8,2,3.0,,1939.0,1,205,4.0,3.0,0,4,0,0,0,0,0.0,0.0,0,118000
10,70.0,11200,5,5,1965,0.0,3,3,3.0,3.0,1.0,3.0,906,1.0,0,134,1040,5,1040,0,0,1040,1,0,1,0,3,5,8,0,,1.0,1965.0,1,384,3.0,3.0,0,0,0,0,0,0,0.0,0.0,0,129500
11,85.0,11924,9,5,2005,286.0,5,3,5.0,3.0,1.0,6.0,998,1.0,0,177,1175,5,1182,1142,0,2324,1,0,3,0,5,11,8,2,4.0,3.0,2005.0,3,736,3.0,3.0,147,21,0,0,0,0,0.0,0.0,0,345000
12,,12968,5,6,1962,0.0,3,3,3.0,3.0,1.0,5.0,737,1.0,0,175,912,3,912,0,0,912,1,0,1,0,3,4,8,0,,1.0,1962.0,1,352,3.0,3.0,140,0,0,0,176,0,0.0,0.0,0,144000
13,91.0,10652,7,5,2006,306.0,4,3,4.0,3.0,3.0,1.0,0,1.0,0,1494,1494,5,1494,0,0,1494,0,0,2,0,4,7,8,1,4.0,,2006.0,3,840,3.0,3.0,160,33,0,0,0,0,0.0,0.0,0,279500
14,,10920,6,5,1960,212.0,3,3,3.0,3.0,1.0,4.0,733,1.0,0,520,1253,3,1253,0,0,1253,1,0,1,1,3,5,8,1,2.0,,1960.0,1,352,3.0,3.0,0,213,176,0,0,0,2.0,2.0,0,157000
15,51.0,6120,7,8,1929,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,832,832,5,854,0,0,854,0,0,1,0,3,5,8,0,,1.0,1991.0,2,576,3.0,3.0,48,112,0,0,0,0,4.0,4.0,0,132000
16,,11241,6,7,1970,180.0,3,3,3.0,3.0,1.0,5.0,578,1.0,0,426,1004,5,1004,0,0,1004,1,0,1,0,3,5,8,1,3.0,,1970.0,2,480,3.0,3.0,0,0,0,0,0,0,0.0,0.0,700,149000
